Att.1,Yds.1,Y/A,TD.1,player_id
0.0,0.0,0.0,0.0,YankCo00
0.0,0.0,0.0,0.0,ZylsSh00
0.0,0.0,0.0,0.0,AlleBr00
0.0,0.0,0.0,0.0,BaccAn00
0.0,0.0,0.0,0.0,BachAl00
0.0,0.0,0.0,0.0,BryaHa00
0.0,0.0,0.0,0.0,CannSa00
0.0,0.0,0.0,0.0,DurhPa00
0.0,0.0,0.0,0.0,DwelRo00
3.0,6.0,2.0,0.0,GaskMy00
0.0,0.0,0.0,0.0,GoulAn00
0.0,0.0,0.0,0.0,GranCa00
2.0,8.0,4.0,0.0,JohnAm00
7.0,9.0,1.29,0.0,LaubDy00
0.0,0.0,0.0,0.0,ManhCh00
0.0,0.0,0.0,0.0,MataMo00
3.0,7.0,2.33,0.0,MullKa00
0.0,0.0,0.0,0.0,OlivBr02
1.0,3.0,3.0,0.0,RicaPa00
4.0,-1.0,-0.25,0.0,RichAn03
2.0,11.0,5.5,0.0,SaylJa00
0.0,0.0,0.0,0.0,SkinQu00
4.0,11.0,2.75,0.0,WillJo011
3.0,1.0,0.33,0.0,WilsZa00
3.0,6.0,2.0,0.0,WrigOw00
0.0,0.0,0.0,0.0,YuroBe00
0.0,0.0,0.0,0.0,AlexMa02
3.0,-3.0,-1.0,0.0,AlleKy00
1.0,0.0,0.0,0.0,BentUl00
0.0,0.0,0.0,0.0,BlaiCh00
0.0,0.0,0.0,0.0,BrigGa00
0.0,0.0,0.0,0.0,BrooJa04
0.0,0.0,0.0,0.0,BrowJa07
0.0,0.0,0.0,0.0,BrowPh01
0.0,0.0,0.0,0.0,CageLa01
0.0,0.0,0.0,0.0,CambDa00
0.0,0.0,0.0,0.0,CampDa01
0.0,0.0,0.0,0.0,CampPa00
0.0,0.0,0.0,0.0,CarlSt00
0.0,0.0,0.0,0.0,CartDe02
0.0,0.0,0.0,0.0,ChisDa00
0.0,0.0,0.0,0.0,CracRi00
1.0,1.0,1.0,0.0,CunnMa00
0.0,0.0,0.0,0.0,DabnDr00
0.0,0.0,0.0,0.0,DaviKa02
0.0,0.0,0.0,0.0,DaviZa00
0.0,0.0,0.0,0.0,DippCJ00
0.0,0.0,0.0,0.0,EdmoCh00
0.0,0.0,0.0,0.0,FantPr00
0.0,0.0,0.0,0.0,FehoSi00
0.0,0.0,0.0,0.0,FidoTh00
2.0,4.0,2.0,0.0,FranFe00
0.0,0.0,0.0,0.0,GageRu00
0.0,0.0,0.0,0.0,GrayEr01
0.0,0.0,0.0,0.0,GuerIs00
2.0,-2.0,-1.0,0.0,HineNy00
0.0,0.0,0.0,0.0,HoliJi00
1.0,-2.0,-2.0,0.0,HomeTr00
0.0,0.0,0.0,0.0,HortZa00
0.0,0.0,0.0,0.0,HuntJa03
0.0,0.0,0.0,0.0,JameJo01
0.0,0.0,0.0,0.0,JeffJe00
0.0,0.0,0.0,0.0,JenkEJ00
0.0,0.0,0.0,0.0,JohnJa12
0.0,0.0,0.0,0.0,JoneJe01
0.0,0.0,0.0,0.0,KaliNi00
0.0,0.0,0.0,0.0,KallNi00
0.0,0.0,0.0,0.0,KiefKo00
0.0,0.0,0.0,0.0,LatuCa01
0.0,0.0,0.0,0.0,LewiMa00
6.0,-5.0,-0.83,0.0,LockDr00
0.0,0.0,0.0,0.0,LoveDo00
1.0,-1.0,-1.0,0.0,MartAd00
0.0,0.0,0.0,0.0,McKeSe01
0.0,0.0,0.0,0.0,MeekJa00
2.0,2.0,1.0,0.0,MiltKe01
0.0,0.0,0.0,0.0,MimsJo00
6.0,2.0,0.33,0.0,MinsGa00
0.0,0.0,0.0,0.0,MitcEl00
0.0,0.0,0.0,0.0,MoreJa01
12.0,-8.0,-0.67,0.0,MullNi00
0.0,0.0,0.0,0.0,NichLe00
0.0,0.0,0.0,0.0,OuztRo00
0.0,0.0,0.0,0.0,OwenCo00
0.0,0.0,0.0,0.0,PalmTe00
0.0,0.0,0.0,0.0,PresBr00
0.0,0.0,0.0,0.0,QuitTe00
3.0,4.0,1.33,0.0,ReynCr00
0.0,0.0,0.0,0.0,RiccGi00
0.0,0.0,0.0,0.0,RichJP00
0.0,0.0,0.0,0.0,RoyaJa00
0.0,0.0,0.0,0.0,RuccHa00
0.0,0.0,0.0,0.0,RunyCa00
