2PM,2PP,player_id
0.0,0.0,WileJa00
0.0,0.0,WillAv02
0.0,0.0,WillBr06
0.0,0.0,WilsJe01
0.0,0.0,DaviDe02
0.0,0.0,GaroJi00
0.0,0.0,WillKe08
0.0,0.0,AgneJa00
0.0,0.0,HardMe00
0.0,0.0,MilrJa00
0.0,0.0,WestLa01
0.0,0.0,GipsXa00
0.0,0.0,PricMy00
