Player,Tm,FantPos,Age,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,PPR,-9999
Baker Mayfield,TAM,QB,30,17,343.0,543.0,3693.0,26.0,11.0,55.0,382.0,6.95,1.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,1,0.0,2.0,271.9,MayfBa00
Jaxson Dart,NYG,QB,22,14,216.0,339.0,2272.0,15.0,5.0,86.0,487.0,5.66,9.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,9,0.0,1.0,241.6,DartJa00
Jordan Love,GNB,QB,27,15,291.0,439.0,3381.0,23.0,6.0,47.0,199.0,4.23,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0,0.0,2.0,235.1,LoveJo03
Sam Darnold,SEA,QB,28,17,323.0,477.0,4048.0,25.0,14.0,35.0,95.0,2.71,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,0,0.0,2.0,235.4,DarnSa00
Jacoby Brissett,ARI,QB,33,14,315.0,485.0,3366.0,23.0,8.0,38.0,168.0,4.42,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1,0.0,1.0,227.4,BrisJa00
Daniel Jones,IND,QB,28,13,261.0,384.0,3101.0,19.0,8.0,45.0,164.0,3.64,5.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,5,0.0,1.0,226.4,JoneDa05
Aaron Rodgers,PIT,QB,42,16,327.0,498.0,3322.0,24.0,7.0,21.0,61.0,2.9,1.0,1.0,1.0,-9.0,-9.0,0.0,4.0,1.0,1,0.0,1.0,227.1,RodgAa00
Bryce Young,CAR,QB,24,16,304.0,478.0,3011.0,23.0,11.0,54.0,216.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,2,0.0,1.0,218.0,YounBr01
Lamar Jackson,BAL,QB,28,13,192.0,302.0,2549.0,21.0,7.0,67.0,349.0,5.21,2.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2,0.0,1.0,214.9,JackLa00
C.J. Stroud,HOU,QB,24,14,273.0,423.0,3041.0,19.0,8.0,48.0,209.0,4.35,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,0.0,0.0,208.5,StroCJ00
Cam Ward,TEN,QB,23,17,323.0,540.0,3169.0,15.0,7.0,39.0,159.0,4.08,2.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,2,0.0,0.0,186.7,WardCa00
Brock Purdy,SFO,QB,26,9,197.0,284.0,2167.0,20.0,10.0,33.0,147.0,4.45,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3,0.0,1.0,177.4,PurdBr00
Geno Smith,LVR,QB,35,15,302.0,448.0,3025.0,19.0,17.0,41.0,109.0,2.66,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0,0.0,1.0,173.9,SmitGe00
Tua Tagovailoa,MIA,QB,27,14,260.0,384.0,2660.0,20.0,15.0,20.0,43.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0,0.0,1.0,160.7,TagoTu00
Tyler Shough,NOR,QB,26,11,221.0,327.0,2384.0,10.0,6.0,45.0,186.0,4.13,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3,1.0,0.0,158.0,ShouTy00
Kenneth Gainwell,PIT,RB,26,17,0.0,0.0,0.0,0.0,0.0,114.0,537.0,4.71,5.0,85.0,73.0,486.0,6.66,3.0,2.0,1.0,8,0.0,0.0,221.3,GainKe00
Joe Flacco,2TM,QB,40,13,251.0,416.0,2479.0,15.0,10.0,21.0,35.0,1.67,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1,0.0,2.0,146.7,FlacJo00
Rhamondre Stevenson,NWE,RB,27,14,0.0,0.0,0.0,0.0,0.0,130.0,603.0,4.64,7.0,37.0,32.0,345.0,10.78,2.0,3.0,3.0,9,2.0,0.0,178.8,StevRh00
Quinshon Judkins,CLE,RB,22,14,0.0,0.0,0.0,0.0,0.0,230.0,827.0,3.6,7.0,36.0,26.0,171.0,6.58,0.0,0.0,0.0,7,1.0,0.0,169.8,JudkQu00
Justin Fields,NYJ,QB,26,9,128.0,204.0,1259.0,7.0,1.0,71.0,383.0,5.39,4.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,4,2.0,3.0,142.7,FielJu00
David Montgomery,DET,RB,28,17,1.0,2.0,3.0,1.0,0.0,158.0,716.0,4.53,8.0,29.0,24.0,192.0,8.0,0.0,2.0,1.0,8,1.0,0.0,166.9,MontDa01
Joe Burrow,CIN,QB,29,8,173.0,259.0,1809.0,17.0,5.0,14.0,41.0,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,134.5,BurrJo01
Jacory Croskey-Merritt,WAS,RB,24,17,0.0,0.0,0.0,0.0,0.0,175.0,805.0,4.6,8.0,13.0,9.0,68.0,7.56,0.0,4.0,2.0,8,0.0,0.0,140.3,CrosJa00
Mac Jones,SFO,QB,27,11,201.0,289.0,2151.0,13.0,6.0,36.0,60.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0,0.0,1.0,130.0,JoneMa05
Kyle Monangai,CHI,RB,23,17,0.0,0.0,0.0,0.0,0.0,169.0,783.0,4.63,5.0,30.0,18.0,164.0,9.11,0.0,0.0,0.0,5,2.0,0.0,146.7,MonaKy00
Kareem Hunt,KAN,RB,30,17,0.0,0.0,0.0,0.0,0.0,163.0,611.0,3.75,8.0,25.0,18.0,143.0,7.94,1.0,2.0,1.0,9,0.0,0.0,145.4,HuntKa00
Woody Marks,HOU,RB,25,16,0.0,0.0,0.0,0.0,0.0,196.0,703.0,3.59,2.0,36.0,24.0,208.0,8.67,3.0,1.0,0.0,6,0.0,0.0,151.1,MarkWo00
Marcus Mariota,WAS,QB,32,11,139.0,227.0,1695.0,10.0,7.0,50.0,297.0,5.94,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1,0.0,1.0,125.5,MariMa01
J.J. McCarthy,MIN,QB,22,10,140.0,243.0,1632.0,11.0,12.0,37.0,181.0,4.89,4.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,4,0.0,1.0,125.4,McCaJJ00
Tyrone Tracy Jr.,NYG,RB,26,15,0.0,0.0,0.0,0.0,0.0,176.0,740.0,4.2,2.0,48.0,36.0,288.0,8.0,2.0,1.0,1.0,4,0.0,0.0,160.8,TracTy00
Michael Penix,ATL,QB,25,9,166.0,276.0,1982.0,9.0,3.0,21.0,70.0,3.33,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1,0.0,1.0,120.3,PeniMi00
Justin Jefferson,MIN,WR,26,17,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.5,0.0,141.0,84.0,1048.0,12.48,2.0,0.0,0.0,2,0.0,0.0,201.5,JeffJu00
Deebo Samuel,WAS,WR,29,16,0.0,0.0,0.0,0.0,0.0,17.0,75.0,4.41,1.0,99.0,72.0,727.0,10.1,5.0,3.0,0.0,6,0.0,0.0,188.2,SamuDe00
Jordan Mason,MIN,RB,26,16,0.0,0.0,0.0,0.0,0.0,159.0,758.0,4.77,6.0,16.0,14.0,51.0,3.64,0.0,3.0,1.0,6,0.0,0.0,128.9,MasoJo00
Ladd McConkey,LAC,WR,24,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,66.0,789.0,11.95,6.0,0.0,0.0,6,0.0,0.0,180.9,McCoLa00
Blake Corum,LAR,RB,25,17,0.0,0.0,0.0,0.0,0.0,145.0,746.0,5.14,6.0,14.0,8.0,36.0,4.5,0.0,0.0,0.0,6,0.0,0.0,122.2,CoruBl00
Jayden Daniels,WAS,QB,25,7,114.0,188.0,1262.0,8.0,3.0,58.0,278.0,4.79,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2,0.0,1.0,114.3,DaniJa02
Troy Franklin,DEN,WR,22,17,0.0,0.0,0.0,0.0,0.0,5.0,12.0,2.4,0.0,104.0,65.0,709.0,10.91,6.0,1.0,1.0,6,3.0,0.0,177.1,FranTr00
Romeo Doubs,GNB,WR,25,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,55.0,724.0,13.16,6.0,1.0,0.0,6,1.0,0.0,165.4,DoubRo00
Tyler Allgeier,ATL,RB,25,17,0.0,0.0,0.0,0.0,0.0,143.0,514.0,3.59,8.0,16.0,14.0,96.0,6.86,0.0,0.0,0.0,8,0.0,0.0,123.0,AllgTy00
Bucky Irving,TAM,RB,23,10,0.0,0.0,0.0,0.0,0.0,173.0,588.0,3.4,1.0,35.0,30.0,277.0,9.23,3.0,1.0,1.0,4,0.0,0.0,138.5,IrviBu00
J.K. Dobbins,DEN,RB,27,10,0.0,0.0,0.0,0.0,0.0,153.0,772.0,5.05,4.0,14.0,11.0,37.0,3.36,0.0,0.0,0.0,4,0.0,0.0,115.9,DobbJK00
Tre Tucker,LVR,WR,24,17,0.0,0.0,0.0,0.0,0.0,11.0,51.0,4.64,0.0,92.0,57.0,696.0,12.21,5.0,0.0,0.0,5,0.0,0.0,161.7,TuckTr00
Kirk Cousins,ATL,QB,37,10,166.0,269.0,1721.0,10.0,5.0,14.0,7.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,0.0,0.0,103.5,CousKi00
Omarion Hampton,LAC,RB,22,9,0.0,0.0,0.0,0.0,0.0,124.0,545.0,4.4,4.0,35.0,32.0,192.0,6.0,1.0,1.0,0.0,5,0.0,0.0,135.7,HampOm00
Cam Skattebo,NYG,RB,23,8,0.0,0.0,0.0,0.0,0.0,101.0,410.0,4.06,5.0,32.0,24.0,207.0,8.63,2.0,1.0,1.0,7,1.0,0.0,127.7,SkatCa00
Juwan Johnson,NOR,TE,29,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,77.0,889.0,11.55,3.0,2.0,2.0,3,0.0,0.0,179.9,JohnJu02
