Player,Tm,FantPos,Age,G,player_id
Jalen Tolbert,DAL,WR,26,13,TolbJa00
Jaleel McLaughlin,DEN,RB,25,8,McLaJa00
Roman Wilson,PIT,WR,24,13,WilsRo02
Tyler Johnson,NYJ,WR,27,12,JohnTy00
Charlie Kolar,BAL,TE,26,17,KolaCh00
Adam Trautman,DEN,TE,28,17,TrauAd00
Tutu Atwell,LAR,WR,26,10,AtweTu00
James Conner,ARI,RB,30,3,ConnJa00
Luke Musgrave,GNB,TE,25,17,MusgLu00
Ja'Tavion Sanders,CAR,TE,22,13,SandJa01
Zavier Scott,MIN,RB,26,16,ScotZa00
Connor Heyward,PIT,TE,26,17,HeywCo00
Josh Johnson,WAS,QB,39,5,JohnJo05
Hunter Luepke,DAL,RB,25,17,LuepHu00
Gunner Olszewski,NYG,WR,29,16,OlszGu00
Jeremy Ruckert,NYJ,TE,25,17,RuckJe00
Mitchell Tinsley,CIN,WR,26,17,TinsMi00
Jawhar Jordan,HOU,RB,26,4,JordJa00
Jaret Patterson,LAC,RB,26,6,PattJa01
Brock Wright,DET,TE,27,11,WrigBr01
Elijah Arroyo,SEA,TE,22,13,ArroEl00
Jack Bech,LVR,WR,23,16,BechJa00
Trey Benson,ARI,RB,23,4,BensTr01
Lil'Jordan Humphrey,2TM,WR,27,10,HumpLi01
Malachi Corley,CLE,WR,23,13,CorlMa00
Antonio Gibson,NWE,RB,27,5,GibsAn00
Hunter Long,JAX,TE,27,9,LongHu00
Hunter Renfrow,CAR,WR,30,6,RenfHu00
Adam Thielen,2TM,WR,35,16,ThieAd00
Jahdae Walker,CHI,WR,23,9,WalkJa03
Ameer Abdullah,IND,RB,32,13,AbduAm00
Kevin Austin,NOR,WR,25,8,AustKe00
Chris Brooks,GNB,RB,25,17,BrooCh00
Elijah Moore,BUF,WR,25,9,MoorEl00
Elijah Moore,DEN,WR,25,0,MoorEl00
Theo Wease,MIA,WR,24,3,WeasTh00
Jaydon Blue,DAL,RB,21,5,BlueJa01
Treylon Burks,WAS,WR,25,8,BurkTr00
Gabe Davis,BUF,WR,26,6,DaviGa01
Luke Farrell,SFO,TE,28,17,FarrLu00
Miles Sanders,DAL,RB,28,4,SandMi01
Mo Alie-Cox,IND,TE,32,17,AlieMo00
Jerome Ford,CLE,RB,26,13,FordJe00
Noah Gray,KAN,TE,26,16,GrayNo00
Isaiah Hodgins,NYG,WR,27,7,HodgIs00
Jimmy Horn,CAR,WR,23,13,HornJi00
Zay Jones,ARI,WR,30,8,JoneZa00
Jalen McMillan,TAM,WR,24,4,McMiJa01
Marquez Valdes-Scantling,2TM,WR,31,10,ValdMa00
Jordan Whittington,LAR,WR,25,17,WhitJo04
Andrew Beck,NYJ,FB,29,17,BeckAn01
Raheem Mostert,LVR,RB,33,12,MostRa00
Drew Sample,CIN,TE,29,17,SampDr00
